"",,,,,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,,,,
"",,,,,TAX DETERMINED (In Barrels)*,,,,
"",,,,,Beer removed for consumption or sale including beer,,,,
"",,,,,removed tax determined for consumption or sale,,,,
"",,,,,in a tavern or on brewery premises,,,,
OR,"16,962.21","20,091.20","23,391.44","27,650.00","32,250.56 34,755.42 37,006.39","33,472.70","88,028.35","110,352.94","121,426.13"
PA,"20,048.89","20,690.29","24,100.19","26,916.15","32,025.24 33,773.09 31,943.35","30,228.30","44,275.02","55,589.65","64,816.03"
RI,908.37,940.31,692.41,788.29,901.31 716.47 830.80,987.13,961.74,"5,280.88","6,716.45"
SC,"3,492.61","3,250.91","2,901.18","3,091.56","3,037.92 2,904.66 2,711.72","3,131.64","11,328.32","30,163.30","29,784.13"
SD,946.52,879.82,860.25,"1,186.62",824.63 773.45 909.14,"1,336.27","1,731.45","3,217.49","5,544.92"
TN,"10,370.86","12,092.40","11,977.06","13,633.63","9,702.23 10,103.13 9,965.75","9,220.38","18,757.66","35,673.47","38,004.31"
TX,"7,133.91","9,670.24","9,814.02","10,556.49","10,299.17 8,503.31 9,242.60","9,471.81","62,757.74","101,466.52","134,192.39"
UT,"6,300.55","6,446.05","5,941.77","5,226.60","5,238.62 4,595.18 3,953.10","5,875.72","4,302.44","6,283.83","8,391.41"
VA,"11,810.66","11,976.19","12,379.87","12,732.37","12,098.41 10,414.51 12,450.88","12,352.47","36,003.33","68,666.78","108,714.91"
VT,"3,489.62","3,486.81","3,587.06","3,661.94","3,263.23 2,216.50 2,563.85","2,692.34","10,792.93","13,299.51","19,774.72"
WA,"19,697.39","17,195.23","17,651.64","19,965.32","18,205.29 17,362.29 17,770.87","18,066.36","45,357.11","78,538.88","91,329.51"
WI,"15,433.97","14,919.93","14,700.40","16,669.97","19,882.13 18,853.61 19,250.29","17,885.54","34,649.49","55,487.79","64,904.85"
WV,865.02,608.65,78.00,,7.16 0.00 14.85 422.15,420.50,"3,653.33","6,766.41","7,129.94"
WY,322.24,"2,135.61","2,518.90","2,681.61","3,178.55 3,528.21 3,544.63","3,133.63","5,403.20","14,370.22","20,617.48"
total,"459,686.36","467,148.07","467,964.96","513,621.90","549,067.09 550,902.89 574,860.64","668,284.27","1,275,921.04","2,014,125.21","2,408,610.40"
"",,,,,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,,,,
"",,,,,Taxable Volume of Bottles and Cans*,,,,
"",,,,,(In Barrels),,,,
"",,,,,23-Mar-18,,,,
State,2007,2008,2009,2010,2011 2012 2013 2014,,2015,2016,2017
AK,"79,423.93","81,218.75","89,762.16","80,889.21","94,781.57 105,416.32 112,008.59 129,181.74",,"126,309.22","115,823.75","109,652.22"
AL,,,,,"658.96 2,485.79 6,634.43 9,521.26",,"10,543.00","9,977.46","11,779.07"
AR,996.65,"1,206.73","1,269.26","1,445.82","1,382.06 8.00 8.00 800.09",,872.11,"1,737.10","7,295.70"
AZ,"6,333.37","6,980.87","7,383.27","10,380.26","14,057.56 18,411.25 22,318.65 29,645.05",,"44,032.85","59,031.78","66,483.94"
CA,"20,276,679.66","20,082,718.48","19,452,836.45","19,095,643.27","18,204,514.85 18,940,276.02 17,838,853.36 18,052,809.23",,"17,701,780.59","17,569,308.63","16,669,538.06"
CO,"21,992,825.69","24,182,900.40","21,095,113.55","18,742,266.67","18,820,319.55 19,267,902.29 18,549,122.13 18,035,909.80",,"17,755,216.77","18,105,206.85","17,964,830.08"
CT,"2,874.84","1,985.86","3,152.59","4,822.66","5,578.56 6,372.31 21,549.90 50,874.70",,"80,241.60","85,586.12","118,767.89"
DC,,732.36,629.61,184.80,"332.23 1,727.77 3,546.13 4,265.73",,"9,222.28","9,485.89","8,679.10"
DE,"39,964.25","57,376.89","73,743.37","89,753.27","109,745.27 129,493.68 148,156.85 167,806.22",,"176,483.90","174,130.96","214,555.74"
FL,"8,039,385.65","8,301,524.51","9,028,726.18","9,232,548.52","9,380,672.31 9,738,023.02 9,521,482.11 9,439,058.04",,"9,842,764.82","10,028,963.53","9,755,187.06"
GA,"14,117,629.75","14,460,115.55","15,110,122.41","14,321,565.18","14,700,163.67 15,000,803.63 14,681,673.20 13,929,282.27",,"12,869,372.66","13,468,949.41","13,440,447.28"
HI,"2,892.23","3,244.23","5,154.78","7,518.77","12,683.85 13,350.64 13,208.44 13,039.35",,"17,643.83","24,101.03","30,194.62"
IA,"1,213.72","1,951.71","2,714.54","3,817.78","4,178.10 4,309.38 5,519.98 8,090.96",,"6,886.79","4,303.13","5,121.93"
ID,"4,644.64","4,710.76","4,765.33","6,143.50","6,407.47 9,112.66 11,093.10 14,718.98",,"15,257.78","15,422.23","16,068.46"
IL,"686,411.86","735,775.96","920,737.45","935,134.49","911,312.40 786,867.40 944,038.45 946,826.09",,"1,177,503.56","1,281,395.63","1,120,009.71"
IN,"74,919.14","7,626.27","9,704.30","13,724.96","19,393.24 32,664.02 37,750.09 48,204.65",,"55,466.71","67,624.00","72,344.83"
KS,250.42,749.00,"1,869.36","4,887.37","9,179.79 9,537.42 11,226.90 15,852.43",,"19,051.11","17,069.96","16,123.88"
KY,"117,259.02","76,976.90","76,927.25","68,413.44","58,747.18 70,540.28 78,440.18 86,161.38",,"99,595.65","97,413.84","115,167.63"
LA,"49,881.91","53,303.39","58,728.33","71,390.80","81,163.65 98,359.97 101,715.41 109,386.36",,"109,962.30","104,479.26","102,180.93"
MA,"48,378.10","51,229.45","64,333.05","72,352.47","91,092.86 107,665.45 127,282.86 133,223.43",,"140,674.77","168,617.48","227,507.37"
MD,"47,397.98","47,959.13","48,841.34","63,027.57","74,120.55 75,360.92 89,731.45 104,085.75",,"113,778.85","110,105.25","109,556.20"
ME,"82,130.69","76,817.87","74,021.63","88,631.90","114,906.50 124,123.97 122,877.92 132,025.53",,"136,646.89","136,065.27","126,135.75"
MI,"65,621.64","83,937.28","95,754.44","129,159.89","198,151.04 284,832.91 272,746.16 419,973.01",,"542,697.93","630,694.91","781,664.02"
MN,"187,203.48","223,517.81","221,315.48","212,445.88","259,668.58 232,657.19 253,317.42 285,724.01",,"314,887.35","305,430.57","328,876.58"
MO,"13,897,374.55","14,124,480.48","13,429,771.56","12,455,434.53","12,278,066.32 12,808,818.03 12,586,027.39 12,366,680.51",,"12,493,739.84","12,567,319.73","12,108,505.49"
MS,61.48,"1,952.64","3,521.57","5,188.87","6,646.41 8,051.63 10,044.08 13,409.98",,"11,793.55","8,237.78","6,798.97"
MT,"33,890.82","32,902.39","36,322.98","42,673.97","50,457.49 53,243.54 56,224.96 64,538.30",,"71,159.76","65,207.68","67,226.51"
NC,"6,954,288.19","6,717,728.97","7,129,633.14","6,943,748.84","6,600,785.11 6,735,801.22 6,515,751.81 6,311,112.23",,"6,341,549.69","3,389,539.45","876,886.93"
ND,,,,,"133.11 1,363.95",,"1,891.37",771.99,"1,480.51"
NE,"1,514.32","1,792.16","2,575.65","4,950.25","5,885.50 6,780.45 2,073.18 12,738.17",,"10,792.33","13,944.91","13,914.72"
NH,"2,735,565.87","2,786,576.49","2,817,627.46","2,885,016.06","2,734,941.12 2,927,305.84 2,854,790.85 2,745,595.26",,"2,856,383.87","2,837,839.95","2,746,078.75"
NJ,"6,786,713.68","6,600,357.44","6,522,536.49","6,920,666.14","5,908,969.19 4,572,952.86 4,264,380.69 4,316,395.59",,"3,221,454.37","2,660,433.24","2,439,018.10"
NM,"3,578.14","4,447.60","6,387.49","9,364.70","14,169.83 17,164.28 18,327.17 26,140.30",,"30,487.22","29,126.65","38,350.28"
NV,216.58,234.05,700.47,939.85,"1,790.02 3,647.33 4,561.27 6,322.08",,"6,091.00","6,477.36","8,418.87"
NY,"6,695,785.34","6,997,372.81","6,307,846.95","6,376,824.80","5,779,655.18 6,832,275.59 7,166,945.25 6,749,799.40",,"7,218,516.11","7,555,530.53","7,507,639.43"
OH,"18,093,553.98","18,015,059.22","17,920,640.25","18,272,288.93","18,312,552.08 17,318,045.77 16,646,929.63 17,044,931.31",,"18,060,472.31","18,130,886.35","17,733,218.04"
OK,"1,415.28","1,186.99","2,284.47","2,937.63","3,593.60 3,706.66 3,141.24 5,620.53",,"6,990.95","8,597.36","8,032.06"
OR,"463,171.18","524,814.27","581,456.86","659,065.27","772,698.31 848,065.57 937,521.77 1,036,589.35",,"1,089,613.20","1,124,515.37","1,019,683.45"
PA,"2,100,671.91","2,238,872.56","2,262,763.16","2,685,440.45","3,128,166.80 3,411,033.49 4,005,887.40 4,246,712.36",,"4,140,992.46","3,853,670.66","3,637,388.46"
RI,84.50,78.00,76.00,"1,613.00","1,692.00 2,021.32 4,181.58 4,949.18",,"5,592.76","6,646.02","15,628.91"
SC,"2,663.67","3,475.55","4,733.84","6,346.93","10,771.16 12,903.66 17,725.52 21,211.65",,"24,319.79","20,753.29","20,973.93"
SD,,,,,97.60 424.14 619.70 785.06 823.65,,"1,028.03",935.83,"1,132.85"
TN,28.65,292.08,98.75,112.10,"1,051.89 380,277.00 560,336.92 696,681.85",,"1,073,651.26","1,116,453.27","1,294,714.77"
TX,"18,789,638.88","18,671,765.96","19,020,183.48","18,985,409.81","18,934,858.19 17,941,441.31 18,373,013.26 18,841,742.38",,"18,151,237.17","18,582,286.52","18,110,663.30"
UT,"20,537.96","22,701.49","22,586.94","28,681.77","40,477.43 62,120.44 80,300.79 101,610.11",,"117,512.50","124,719.01","126,456.78"
VA,"13,677,700.70","14,083,265.00","13,471,382.64","12,809,681.79","12,531,661.75 13,408,374.35 12,891,463.92 12,259,344.53",,"11,190,928.41","11,211,279.68","12,675,322.03"
VT,"197,799.34","219,875.42","217,101.35","248,184.49","289,840.71 273,965.87 271,560.29 258,101.46",,"264,417.40","220,195.37","201,787.29"
WA,"135,954.63","130,485.73","126,287.74","128,996.61","121,471.16 116,944.26 125,917.12 140,925.38",,"163,346.76","139,649.07","141,268.21"
WI,"7,394,929.60","7,202,790.46","9,095,536.35","10,240,080.70","9,002,320.57 8,884,190.43 9,038,409.69 9,100,215.78",,"9,090,297.72","9,142,816.33","9,189,721.78"
WV,"1,144.66","1,277.63",734.00,569.55,120.33 23.18 87.86 43.45,,60.86,40.86,15.6
WY,"1,826.80","1,666.38","1,851.16","1,649.54","1,916.37 2,580.15 2,755.25 2,447.42",,"3,409.94","6,946.93","7,393.61"
total,"163,914,429.33","166,930,011.93","165,432,246.88","162,972,112.66","159,708,194.46 161,692,656.22 159,413,578.77 158,542,512.22",,"157,014,623.95","155,415,745.23","151,415,887.68"
"",,,,ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,,,
"",,,,Taxable Volume of Barrels and Kegs*,,,
"",,,,(In Barrels),,,
"",,,,23-Mar-18,,,
State,2007,2008,2009,2010 2011 2012 2013 2014,2015,2016,2017
AK,"48,706.76","50,920.35","52,278.05","54,395.32 58,519.66 65,679.13 68,867.58 73,823.62","74,606.28","69,473.78","66,217.06"
AL,,157.33,459.88,"547.69 1,810.06 6,453.45 11,747.74 13,749.96","11,465.23","11,846.23","8,716.57"
AR,892.27,882.83,"1,081.95","1,318.17 1,144.17 125.94 1,078.21 2,787.48","6,965.83","9,058.30","3,754.97"
AZ,"16,159.29","18,635.98","18,303.18","24,410.52 32,848.92 44,792.72 59,074.04 80,214.06","74,997.94","71,863.70","70,369.43"
CA,"2,031,592.76","2,005,517.01","2,070,667.22","2,198,550.10 2,166,028.35 2,272,768.96 2,388,676.84 2,330,092.84","2,220,498.84","2,165,833.96","2,144,580.39"
CO,"2,203,524.91","2,564,428.26","2,285,814.82","2,279,812.02 2,277,201.65 2,290,799.82 2,177,094.68 2,207,491.04","2,083,226.02","1,898,362.52","1,560,985.12"
CT,"3,347.21","3,851.71","5,471.25","6,823.23 8,033.77 6,849.69 20,486.04 33,903.03","38,194.71","47,595.20","91,759.81"
DC,,,,"1,366.16 4,257.53 5,934.43 8,335.80","8,925.18","9,664.33","8,165.04"
DE,"19,561.75","25,709.65","37,560.36","48,117.54 57,886.92 65,524.44 75,629.27 82,037.96","83,489.86","78,225.11","74,403.02"
FL,"1,168,248.81","1,188,745.72","1,297,356.04","1,247,064.73 1,287,687.46 1,289,450.36 1,260,567.42 1,242,022.65","1,245,516.38","1,186,318.43","1,172,084.57"
GA,"370,951.41","412,159.15","578,799.07","518,567.58 482,677.65 480,930.15 545,302.04 489,713.84","463,799.45","533,283.65","499,703.70"
HI,"12,167.94","13,159.64","13,292.91","15,488.55 19,606.37 19,391.33 18,107.58 21,582.44","25,424.30","28,641.98","32,067.39"
IA,"1,621.63","2,113.46","2,634.37","3,780.36 6,320.58 8,572.43 13,243.72 21,448.89","15,321.13","7,700.13","10,480.85"
ID,"6,120.91","6,279.71","6,797.91","6,834.92 7,749.54 11,316.83 15,294.81 17,477.57","16,864.87","16,296.75","17,022.91"
IL,"33,285.69","39,678.85","46,856.93","63,152.26 64,148.06 60,573.70 68,420.11 145,486.79","214,051.58","243,183.00","227,849.94"
IN,"8,462.19","11,103.64","14,744.42","23,055.64 36,461.47 48,867.09 61,510.42 66,614.28","66,387.49","68,150.00","62,341.23"
KS,"1,167.72","1,521.34","1,857.82","3,107.42 5,670.63 4,768.33 6,125.65 7,418.78","8,041.30","9,585.41","9,691.73"
