,State,State Code,Region,Division,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
22,Michigan,MI,Midwest,East North Central,0,0,0,0,3,3,3,3,4,6,12,24,36,60,71,79.0,77.0,71.0,69.0,76.0,78.0,84.0,91,94,96,104,111.0,131,160.0,195.0,256.0,316.0,379.0,452.0,510.0
23,Minnesota,MN,Midwest,West North Central,0,0,3,4,5,7,7,8,8,9,13,18,26,37,35,36.0,41.0,37.0,37.0,31.0,30.0,31.0,35,34,36,39,42.0,56,70.0,75.0,113.0,142.0,165.0,214.0,239.0
24,Missouri,MO,Midwest,West North Central,0,0,0,0,0,0,0,3,4,5,12,13,14,22,26,30.0,32.0,26.0,28.0,28.0,28.0,33.0,34,38,38,47,51.0,55,60.0,63.0,77.0,90.0,116.0,145.0,168.0
25,Mississippi,MS,South,East South Central,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,4.0,4.0,4.0,3.0,3.0,3.0,0,0,0,0,3.0,0,4.0,7.0,10.0,14.0,14.0,16.0,19.0
26,Montana,MT,West,Mountain,0,0,0,0,0,0,3,5,7,10,12,13,16,20,24,24.0,25.0,26.0,28.0,24.0,22.0,21.0,22,26,31,31,31.0,35,41.0,49.0,62.0,74.0,79.0,98.0,108.0
27,North Carolina,NC,South,South Atlantic,0,0,0,0,0,6,8,11,12,14,20,25,36,40,50,52.0,51.0,38.0,38.0,41.0,43.0,45.0,46,45,50,52,61.0,71,94.0,125.0,155.0,207.0,260.0,330.0,387.0
28,North Dakota,ND,Midwest,West North Central,0,0,0,0,0,0,0,0,0,0,0,3,3,4,6,3.0,3.0,3.0,3.0,3.0,4.0,4.0,3,3,3,3,3.0,3,7.0,8.0,10.0,11.0,15.0,22.0,26.0
29,Nebraska,NE,Midwest,West North Central,0,0,0,0,0,0,0,0,5,6,6,8,8,9,8,9.0,9.0,11.0,10.0,12.0,12.0,16.0,16,17,16,17,16.0,18,20.0,25.0,35.0,39.0,47.0,53.0,60.0
30,New Hampshire,NH,Northeast,New England,0,0,0,0,0,0,0,0,3,4,9,14,18,19,19,19.0,19.0,17.0,17.0,16.0,16.0,14.0,14,15,16,17,19.0,21,25.0,35.0,46.0,63.0,73.0,88.0,106.0
31,New Jersey,NJ,Northeast,Middle Atlantic,0,0,0,0,0,0,0,0,0,0,5,7,20,23,27,28.0,24.0,22.0,20.0,22.0,21.0,21.0,21,21,20,22,24.0,31,29.0,37.0,49.0,71.0,96.0,123.0,146.0
32,New Mexico,NM,West,Mountain,0,0,0,0,0,0,0,3,5,8,10,12,20,26,27,26.0,26.0,23.0,23.0,20.0,22.0,22.0,23,21,20,21,26.0,30,38.0,48.0,60.0,71.0,86.0,110.0,124.0
33,Nevada,NV,West,Mountain,0,0,0,0,0,0,0,0,0,3,3,5,10,18,20,24.0,22.0,16.0,17.0,16.0,17.0,16.0,16,16,17,18,20.0,20,23.0,26.0,34.0,39.0,44.0,46.0,50.0
34,New York,NY,Northeast,Middle Atlantic,0,0,3,4,5,6,8,13,16,20,27,44,70,84,88,81.0,78.0,83.0,84.0,86.0,80.0,82.0,82,77,81,84,100.0,123,150.0,193.0,255.0,329.0,394.0,471.0,532.0
35,Ohio,OH,Midwest,East North Central,0,0,0,0,3,5,6,9,12,15,20,28,40,55,68,77.0,87.0,74.0,64.0,59.0,55.0,53.0,57,58,66,66,75.0,81,99.0,114.0,151.0,187.0,236.0,324.0,377.0
36,Oklahoma,OK,South,West South Central,0,0,0,0,0,0,0,0,0,4,6,8,9,9,10,10.0,9.0,6.0,6.0,6.0,7.0,8.0,7,6,9,10,10.0,10,13.0,17.0,18.0,21.0,26.0,43.0,55.0
37,Oregon,OR,West,Pacific,0,3,5,8,13,15,21,26,30,37,48,54,73,86,88,88.0,82.0,82.0,81.0,87.0,92.0,88.0,95,96,108,108,120.0,148,180.0,220.0,244.0,281.0,304.0,347.0,386.0
38,Pennsylvania,PA,Northeast,Middle Atlantic,4,4,5,6,6,8,11,12,12,12,15,27,42,56,63,74.0,73.0,81.0,76.0,78.0,86.0,78.0,81,94,97,96,118.0,146,162.0,183.0,233.0,278.0,333.0,411.0,472.0
39,Rhode Island,RI,Northeast,New England,0,0,0,0,0,0,0,0,0,0,3,6,5,6,5,6.0,8.0,7.0,7.0,6.0,6.0,5.0,5,5,5,5,5.0,6,9.0,12.0,14.0,15.0,17.0,27.0,33.0
40,South Carolina,SC,South,South Atlantic,0,0,0,0,0,0,0,0,0,0,0,11,19,21,23,22.0,19.0,19.0,19.0,21.0,21.0,19.0,16,17,16,15,16.0,17,23.0,30.0,37.0,51.0,59.0,84.0,94.0
41,South Dakota,SD,Midwest,West North Central,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,7.0,7.0,6.0,7.0,7.0,6.0,6.0,7,8,7,7,8.0,9,12.0,12.0,15.0,19.0,21.0,28.0,35.0
42,Tennessee,TN,South,East South Central,0,0,0,0,0,0,0,0,3,5,9,13,15,21,25,23.0,23.0,23.0,22.0,22.0,24.0,19.0,19,22,23,23,26.0,31,45.0,51.0,69.0,88.0,101.0,120.0,140.0
43,Texas,TX,South,West South Central,4,4,4,4,5,7,8,7,8,11,27,48,63,71,65,66.0,59.0,47.0,42.0,41.0,40.0,45.0,47,45,47,47,59.0,84,107.0,128.0,170.0,220.0,266.0,333.0,387.0
44,Utah,UT,West,Mountain,0,0,0,0,0,0,0,3,4,4,8,13,15,17,17,20.0,20.0,16.0,17.0,15.0,16.0,15.0,17,15,15,18,18.0,18,22.0,24.0,27.0,29.0,34.0,39.0,46.0
45,Virginia,VA,South,South Atlantic,0,0,0,0,0,0,4,5,7,12,9,12,17,23,27,29.0,31.0,29.0,30.0,30.0,31.0,34.0,35,35,43,42,44.0,54,67.0,85.0,117.0,155.0,209.0,287.0,328.0
46,Vermont,VT,Northeast,New England,0,0,0,0,0,3,4,6,6,7,10,12,20,24,27,24.0,23.0,19.0,25.0,25.0,26.0,24.0,24,22,24,27,32.0,34,39.0,45.0,51.0,66.0,73.0,84.0,90.0
47,Washington,WA,West,Pacific,4,4,4,4,7,8,10,13,15,21,28,48,79,109,115,118.0,113.0,94.0,94.0,91.0,93.0,100.0,108,110,121,138,157.0,188,230.0,266.0,314.0,383.0,424.0,499.0,540.0
48,Wisconsin,WI,Midwest,East North Central,5,6,7,10,12,14,17,18,19,23,29,35,50,57,65,77.0,91.0,82.0,90.0,90.0,97.0,98.0,103,105,110,108,119.0,126,146.0,146.0,168.0,189.0,217.0,261.0,303.0
49,West Virginia,WV,South,South Atlantic,0,0,0,0,0,0,0,0,0,0,3,0,4,4,5,5.0,6.0,4.0,5.0,5.0,4.0,4.0,6,6,6,8,8.0,8,8.0,9.0,13.0,17.0,24.0,27.0,32.0
50,Wyoming,WY,West,Mountain,0,0,0,0,0,0,0,0,0,0,0,8,10,14,15,13.0,13.0,11.0,11.0,11.0,13.0,14.0,14,14,14,13,16.0,15,19.0,25.0,28.0,32.0,33.0,39.0,44.0
