,State,Median inc (2010),Mean inc (2010),Poverty (2010)
1,Alabama,42081,57655,13.0
2,Alaska,66521,82091,6.6
3,Arizona,50448,67436,10.9
4,Arkansas,39267,53253,13.5
5,California,60883,83483,10.2
6,Colorado,56456,75264,8.6
7,Connecticut,67740,94306,6.5
8,Delaware,57599,74703,7.4
9,District of Columbia,58526,91778,14.5
10,Florida,47661,66323,9.9
11,Georgia,49347,66620,11.9
12,Hawaii,66420,83037,6.7
13,Idaho,46423,59460,9.7
14,Illinois,55735,75140,9.2
15,Indiana,47697,61285,9.6
16,Iowa,48872,61833,7.4
17,Kansas,49424,64994,8.4
18,Kentucky,41576,56009,13.5
19,Louisiana,43445,60003,13.8
20,Maine,46933,60036,8.4
21,Maryland,70647,91454,5.7
22,Massachusetts,64509,85897,7.5
23,Michigan,48432,63692,10.6
24,Minnesota,57243,73561,6.8
25,Mississippi,37881,52484,16.7
26,Missouri,46262,61238,10.0
27,Montana,43872,56886,9.7
28,Nebraska,49342,62707,7.9
29,Nevada,55726,72112,8.6
30,New Hampshire,63277,79105,5.1
31,New Jersey,69811,93475,6.7
32,New Mexico,43820,59223,13.9
33,New York,55603,80374,10.8
34,North Carolina,45570,61781,11.4
35,North Dakota,46781,60581,7.2
36,Ohio,47358,62205,10.3
37,Oklahoma,42979,58099,11.9
38,Oregon,49260,64554,9.6
39,Pennsylvania,50398,67282,8.5
40,Rhode Island,54902,71934,8.4
41,South Carolina,43939,58941,12.3
42,South Dakota,46369,59729,8.7
43,Tennessee,43314,59212,12.4
44,Texas,49646,68700,13.0
45,Utah,56330,70375,7.7
46,Vermont,51841,65886,7.1
47,Virginia,61406,82584,7.2
48,Washington,57244,74331,8.2
49,West Virginia,38380,51064,12.8
50,Wisconsin,51598,65273,7.7
51,Wyoming,53802,68283,6.2
