,State,Median inc (2015),Mean inc (2015),Poverty (2015)
1,Alabama,43623,60511,14.5
2,Alaska,72515,89746,7.0
3,Arizona,50255,68297,13.3
4,Arkansas,41371,57304,14.2
5,California,61818,87877,12.2
6,Colorado,60629,81635,8.5
7,Connecticut,70331,99992,7.6
8,Delaware,60509,79262,8.2
9,District of Columbia,70848,107594,14.3
10,Florida,47507,67975,12.0
11,Georgia,49620,69010,14.2
12,Hawaii,69515,87329,7.7
13,Idaho,47583,62311,10.9
14,Illinois,57574,79556,10.5
15,Indiana,49255,64649,11.1
16,Iowa,53183,68446,8.1
17,Kansas,52205,70093,9.1
18,Kentucky,43740,60031,14.4
19,Louisiana,45047,63904,15.2
20,Maine,49331,64985,9.3
21,Maryland,74551,97801,7.0
22,Massachusetts,68563,94143,8.2
23,Michigan,49576,66760,11.9
24,Minnesota,61492,80444,7.3
25,Mississippi,39665,54906,17.6
26,Missouri,48173,65312,11.1
27,Montana,47169,63139,9.9
28,Nebraska,52997,69392,8.7
29,Nevada,51847,69150,11.4
30,New Hampshire,66779,85727,5.6
31,New Jersey,72093,99026,8.2
32,New Mexico,44963,62215,15.9
33,New York,59269,86825,12.0
34,North Carolina,46868,65338,12.8
35,North Dakota,57181,76185,7.2
36,Ohio,49429,66409,11.5
37,Oklahoma,46879,63890,12.4
38,Oregon,51243,69040,11.2
39,Pennsylvania,53599,73175,9.3
40,Rhode Island,56852,77111,10.1
41,South Carolina,45483,61987,13.5
42,South Dakota,50957,66404,9.1
43,Tennessee,45219,63339,13.2
44,Texas,53207,75264,13.4
45,Utah,60727,76531,9.1
46,Vermont,55176,71392,7.3
47,Virginia,65015,88955,8.2
48,Washington,61062,80789,8.9
49,West Virginia,41751,56425,13.1
50,Wisconsin,53357,69333,8.6
51,Wyoming,58840,73477,7.7
