Index,Name,Year Opened,Region,Latitude,Longitude
1648,Dockery's,2017,South Carolina,32.862738,-79.9062184
1649,"Dodge City Brewing Co., LLC",2017,Kansas,37.7545958,-100.02031
1650,Dodgeton Creek Brewing Company,2014,Colorado,37.2179725,-104.4904
1651,Dog Tag Brewing,2014,Montana,45.7762463,-111.1770945
1652,Dogfish Head Craft Brewery,1995,Delaware,38.715362,-75.086898
1653,Dogfish Head Craft Brewery,1995,Delaware,38.770622,-75.310893
1654,Dogfish Head Craft Brewery,1995,Maryland,39.142971,-77.215924
1655,Dogfish Head Craft Brewery,1995,Virginia,38.880695,-77.397333
1656,Dogfish Head Craft Brewery,1995,Virginia,38.870041,-77.151446
1657,Donavon Brewing Company,2017,Colorado,39.8027644,-105.0874842
1658,Doodle Brewing Company,2008,Missouri,39.254543,-94.455085
1659,Doomsday Brewing Company,2014,Washington,45.5810693,-122.373461
1660,Door 4 Brewing Co.,2017,Illinois,39.8468365,-88.9752628
1661,Door County Brewing Co.,2013,Wisconsin,45.06665,-87.1272819
1662,Dos Desperados Brewery,2013,California,33.1372538,-117.1938782
1663,Dos Luces Brewery,2018,Colorado,39.6940561,-104.9870554
1664,Double Barley Brewing,2013,North Carolina,35.5667492,-78.3380203
1665,Double Bluff Brewing,2015,Washington,48.0403266,-122.4090425
1666,Double Dizzy Brewery,2010,Virginia,37.3522729,-77.896811
1667,Double Horn Brewing Company,2011,Texas,30.5710519,-98.2766861
1668,Double Mountain Brewery,2007,Oregon,45.7099797,-121.5144842
1669,Double Mountain Brewery,2007,Oregon,45.4789106,-122.6177216
1670,Double Nickel Brewery,2015,New Jersey,39.984675,-75.020563
1671,Double Shift Brewing,2015,Missouri,39.0919161,-94.5782443
1672,Double Shovel Cider Company,2015,Alaska,61.1684149,-149.8916283
1673,Doubleheart Brewing,2009,Illinois,41.936447,-87.685905
1674,Down East Cider,2011,Massachusetts,42.383121,-71.0500472
1675,Down Easy Brewing,2010,Texas,29.76045,-95.369784
1676,Down the Road Beer Co.,2013,Massachusetts,42.3370413,-71.2092214
1677,Downey Brewing Company,2014,Michigan,42.3164058,-83.1709467
1678,Downtown Joes Brewery and Restaurant,1993,California,38.298781,-122.284801
1679,Doylestown Brewing Co,2011,Pennsylvania,40.3371537,-75.1268559
1680,Doylestown Brewing Co,2011,Pennsylvania,40.310397,-75.12909
1681,Dr. Jekyll's Craft Beer Company,2014,California,34.160843,-118.079978
1682,Draai Laag Brewing Company,2009,Pennsylvania,40.4787751,-79.968181
1683,Draft Line Brewing,2014,North Carolina,35.595338,-78.7954471
1684,Drafting Table Brewing Company,2016,Michigan,42.5245111,-83.5379346
1685,Dragas Brewing,2014,California,38.7819543,-121.2421116
1686,Dragon Hops Brewing,2017,Virginia,39.05847,-77.729916
1687,Dragon's Tale Brewery,2016,California,34.09151,-117.6870125
1688,Dragonmead Microbrewery,1998,Michigan,42.493159,-82.9741767
1689,Dragons Gate Brewery,2011,Oregon,45.987641,-118.444564
